file_id,mz,i_magnitude,m,m_cal,ppm,nm,mf,dbe,c,h,n,o,p,s,oc,hc,nc,sc,kmd,s_n,dbe_o,n_occurrence,n_assignments_orig,bp,rel_int,sum_int,rel_sum_int,ai,ai_category,ai_mod,form,name,ai_mod_category
103-104-105,253.08294,9305913,254.0902163,254.09027155793,-0.2175,254,C11H14N2O5,6,11,14,2,5,0,0,0.455,1.273,0.1818,0.0,0.1935,12.4,1,14,1,3160410880,0.294452631424937,59870784570,0.0155433289655987,-0.25,other,0.2857142857142857,CHNO,ATL-1,other
103-104-105,209.0819,38801440,210.0891763,210.0892089295,-0.1553,210,C11H14O4,5,11,14,0,4,0,0,0.364,1.273,0.0,0.0,0.1454,61.7,1,20,1,3160410880,1.22773403437973,59870784570,0.0648086379336385,0.14285714285714285,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,225.07682,50612476,226.0840963,226.08412354907,-0.1205,226,C11H14O5,5,11,14,0,5,0,0,0.455,1.273,0.0,0.0,0.1684,81.2,0,20,1,3160410880,1.60145240355583,59870784570,0.0845361829872543,0.0,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,241.07174,51077832,242.0790163,242.07903816864,-0.0903,242,C11H14O6,5,11,14,0,6,0,0,0.545,1.273,0.0,0.0,0.1913,80.5,-1,20,1,3160410880,1.61617694468891,59870784570,0.0853134502359504,-0.2,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,257.06665,38762016,258.0739263,258.07395278821,-0.1026,258,C11H14O7,5,11,14,0,7,0,0,0.636,1.273,0.0,0.0,0.2142,59.4,-2,20,1,3160410880,1.22648660164086,59870784570,0.0647427894563166,-0.5,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,273.06158,18920566,274.0688563,274.06886740778,-0.0405,274,C11H14O8,5,11,14,0,8,0,0,0.727,1.273,0.0,0.0,0.2372,27.1,-3,20,1,3160410880,0.598674245799331,59870784570,0.0316023351554352,-1.0,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,289.05655,6969004,290.0638263,290.06378202735,0.1526,290,C11H14O9,5,11,14,0,9,0,0,0.818,1.273,0.0,0.0,0.2601,8.1,-4,14,1,3160410880,0.220509429457476,59870784570,0.0116400746207893,-2.0,other,0.3333333333333333,CHO,ATL-1,other
103-104-105,224.09283,7198824,225.1001063,225.10010796616,-0.0074,225,C11H15NO4,5,11,15,1,4,0,0,0.364,1.364,0.0909,0.0,0.1512,9.4,1,14,1,3160410880,0.227781268744398,59870784570,0.0120239346313948,0.0,other,0.25,CHNO,ATL-1,other
103-104-105,240.08774,10325277,241.0950163,241.09502258573,-0.0261,241,C11H15NO5,5,11,15,1,5,0,0,0.455,1.364,0.0909,0.0,0.1742,14.3,0,18,1,3160410880,0.326706791997881,59870784570,0.0172459356832511,-0.2,other,0.25,CHNO,ATL-1,other
103-104-105,272.07755,9492118,273.0848263,273.08485182487,-0.0935,273,C11H15NO7,5,11,15,1,7,0,0,0.636,1.364,0.0909,0.0,0.2201,12.3,-2,12,1,3160410880,0.300344428633279,59870784570,0.0158543404235867,-1.0,other,0.25,CHNO,ATL-1,other
